NEWSITEID,NET
11,OHIO
46,OHIO
51,OHIO
62,OHIO
79,OHIO
95,OHIO
98,OHIO
34,SOUTHEAST
57,SOUTHEAST
59,SOUTHEAST
60,SOUTHEAST
81,SOUTHEAST
102,SOUTHEAST
18,UAB
22,UAB
48,UAB
94,UAB
4,VA
6,VA
10,VA
14,VA
16,VA
21,VA
23,VA
24,VA
30,VA
32,VA
37,VA
38,VA
41,VA
42,VA
49,VA
54,VA
55,VA
58,VA
65,VA
75,VA
80,VA
82,VA
84,VA
86,VA
88,VA
90,VA
92,VA
99,VA
101,VA
Count of MASKID,
1,
2,
3,
5,
7,
8,
9,
12,
13,
15,
17,
19,
20,
25,
26,
27,
28,
29,
31,
33,
35,
36,
39,
40,
43,
44,
45,
47,
50,
52,
53,
56,
61,
63,
64,
66,
67,
68,
69,
70,
71,
72,
73,
74,
76,
77,
78,
83,
85,
87,
89,
91,
93,
96,
97,
100,
(blank),
Grand Total,